network,code,title,plain_english_meaning,response_deadline,key_evidence,winnability_label,source
Visa,12.5,Incorrect Amount,The cardholder was charged an amount different from what they authorized.,30 days,"The authorized amount vs. the settled amount with order detail; Itemized receipt or invoice the customer agreed to; Proof of any tip, tax, or adjustment the customer authorized",Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,12.6.1,Duplicate Processing,The cardholder says a single transaction was processed more than once.,30 days,"Distinct order IDs, auth codes, and line items for each charge; Proof each charge corresponds to a separate purchase; If a true duplicate, evidence the duplicate was already refunded",Often winnable,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,11.3,No Authorization,The transaction was completed without obtaining the required authorization approval.,30 days,Authorization approval code for the transaction; Records showing a valid authorization was obtained at the correct time,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,11.1,Card Recovery Bulletin,"The transaction was authorized below the merchant floor limit (or without authorization) at a time the account was listed on the Card Recovery Bulletin / exception file, so a required check was skipped.",30 days,Authorization approval code obtained for the transaction; Records showing the account was not flagged on the exception file at the time of sale; Proof the transaction was correctly authorized rather than processed below floor limit,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,11.2,Declined Authorization,"The transaction was completed after the authorization request was declined (or was processed without a fresh approval), so a charge went through that the issuer had not approved.",30 days,"Authorization approval code showing the transaction was actually approved; Records that the charge was not force-posted after a decline; Proof a fresh, valid authorization was obtained at the time of sale",Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,12.1,Late Presentment,"The transaction was submitted for settlement outside the timeframe the network allows after authorization, and the issuer was unable to recover funds from the account by the time it cleared.",30 days,Authorization date and settlement date showing the transaction was presented on time; Transaction processing records with timestamps; Proof the account was still in good standing when the transaction settled,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,10.5,Visa Fraud Monitoring Program,"The transaction was flagged under the Visa Fraud Monitoring Program (VFMP), which lets issuers dispute card-absent transactions on accounts the program has identified for excessive fraud activity.",30 days,AVS (address) and CVV2 match results from the authorization; Device fingerprint / IP address tied to the cardholder; Delivery confirmation to the verified address and proof of product use; Records that the order passed your fraud-screening controls,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.4,Counterfeit Merchandise,"The cardholder claims the merchandise they received was counterfeit, and that a regulatory or governmental authority identified or seized it as counterfeit.",30 days,"Proof of authenticity or licensing for the merchandise (supplier invoices, brand authorization); The product description and listing the customer accepted at checkout; Documentation contradicting any claim that an authority identified the goods as counterfeit; Your return/refund policy and any resolution offered",Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.8,Original Credit Transaction Not Accepted,The cardholder declines an Original Credit Transaction (a push payment/credit to their card) — for example because it is prohibited in their jurisdiction or they did not want to accept the funds.,30 days,Records of the Original Credit Transaction and the cardholder agreement to receive it; Proof the credit was valid and permitted for the recipient and jurisdiction; Communication authorizing the push payment to the card,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Visa,13.9,Non-Receipt of Cash or Load Transaction Value,The cardholder says they did not receive the cash they requested at a terminal (such as an ATM or cash-back transaction) or the value they expected from loading a prepaid account.,30 days,Terminal / ATM dispense records and journal logs for the transaction; Proof the cash was dispensed or the prepaid value was loaded; Reconciliation records showing the account was funded correctly,Winnable with strong evidence,Visa Core Rules and Visa Product and Service Rules; Visa Dispute Resolution (Visa Claims Resolution) documentation
Mastercard,4837,No Cardholder Authorization,The cardholder claims they did not authorize or participate in the transaction — Mastercard’s primary fraud chargeback.,45 days,AVS and CVC2 match results from the authorization; Device fingerprint / IP address tied to the cardholder; Proof of product access or use after the purchase; Delivery confirmation to the verified address; Prior undisputed purchase history from the same cardholder,Highly winnable,Mastercard Chargeback Guide
Mastercard,4853,Cardholder Dispute (Goods/Services Not as Described or Defective),"A broad consumer-dispute code: goods or services not received, not as described, defective, or a cancelled recurring charge.",45 days,"The product/service description the customer accepted; Proof of delivery or proof the item matched the description; Terms, cancellation, and refund policy accepted at purchase; Communication history about any resolution offered",Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4855,Goods or Services Not Provided,The cardholder paid but says the merchandise or service was never delivered or rendered.,45 days,Carrier tracking showing delivery to the cardholder; Signed proof of delivery or digital access logs; Order confirmation and agreed delivery window,Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4834,Point-of-Interaction Error (Duplicate / Incorrect Amount),A processing error — the cardholder was charged more than once or for an incorrect amount.,45 days,Distinct order IDs and auth codes for each charge; Itemized totals matching the authorized amounts; Proof of refund if a genuine duplicate occurred,Often winnable,Mastercard Chargeback Guide
Mastercard,4841,Cancelled Recurring or Digital Goods Transaction,The cardholder cancelled a recurring billing or digital subscription but was charged again.,45 days,Renewal terms and cancellation policy accepted at sign-up; Records showing no cancellation request before the billing date; Usage / login activity during the disputed period,Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4808,Authorization-Related Chargeback,"The transaction lacked a valid authorization, or the authorization was declined or expired.",45 days,Valid authorization approval code for the transaction; Records the authorization was obtained and not expired at settlement,Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4863,Cardholder Does Not Recognize,The cardholder does not recognize the transaction on their statement (often a billing-descriptor confusion rather than true fraud).,45 days,"Clear billing-descriptor records matching your business name; Order details, receipt, and customer information; Proof the customer placed and received the order",Highly winnable,Mastercard Chargeback Guide
Mastercard,4870,Chip Liability Shift — Counterfeit Fraud,"A counterfeit card was used in a card-present transaction that was not processed via the EMV chip (for example a magstripe fallback on a chip-capable card), shifting counterfeit-fraud liability to the merchant. Mastercard's lost-or-stolen chip-liability variant is the separate code 4871.",45 days,Proof the terminal was EMV-certified and the chip was read (not a magstripe fallback); Transaction record confirming chip-on-chip acceptance; Authorization log showing EMV data was transmitted in the authorization request,Highly winnable,Mastercard Chargeback Guide
Mastercard,4871,Chip Liability Shift — Lost / Stolen / Never Received Fraud,"Fraud occurred on a lost, stolen, or never-received card in a card-present transaction that was not completed with chip-and-PIN, shifting liability to the merchant.",45 days,Records that the terminal was EMV chip-and-PIN certified and the chip was read; Proof PIN verification was performed at the point of sale; Transaction record showing chip (not magstripe) acceptance; Authorization and settlement records,Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4812,Account Number Not on File,The transaction was processed against a card account number that did not exist on the issuer’s file at the time of the transaction.,45 days,Authorization approval code and the account number as submitted; Records showing the card number was entered and authorized correctly; Proof a valid authorization response was received for the account,Winnable with strong evidence,Mastercard Chargeback Guide
Mastercard,4850,Installment Billing Dispute,"In participating countries, the cardholder disputes an installment charge — for example claiming the installment plan was not what they agreed to, or that an installment was billed incorrectly.",45 days,The installment plan terms the cardholder accepted at purchase; Schedule of installments and the amount due for the disputed billing; Records showing the installment was billed per the agreed schedule; Proof of any credit issued if an installment was billed in error,Winnable with strong evidence,Mastercard Chargeback Guide
American Express,F29,Card Not Present Fraud,The cardholder disputes a card-not-present transaction as fraudulent — Amex’s primary online fraud code.,20 days,AVS and CID match results from the authorization; Device fingerprint / IP tied to the cardholder; Proof of delivery or product access after purchase; Prior undisputed order history from the cardholder,Highly winnable,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C08,Goods/Services Not Received or Only Partially Received,"The cardholder paid but says they did not receive the goods or services, or received only part of the order.",20 days,Carrier tracking with delivery confirmation; Digital access logs for non-physical goods; Order details and agreed delivery timeframe,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C31,Goods/Services Not as Described,The cardholder received the item but says it was materially different from what was described.,20 days,The product description the customer accepted at checkout; Proof the delivered item matched the listing; Return/refund policy accepted at purchase,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C02,Credit Not Processed,The cardholder expected a credit or refund that was not processed.,20 days,Processor refund confirmation and reference ID; Settlement date of the credit; Refund policy accepted by the customer (if no credit was owed),Often winnable,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C04,Goods/Services Returned or Refused,The cardmember returned merchandise or refused delivery and claims a credit was not applied to their account.,20 days,"Your return and refund policy accepted at purchase; Proof the return did not meet your policy criteria, or that goods were not returned in acceptable condition; Refund confirmation and reference ID if a credit was already issued; Communication records about the return or refusal",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C05,Goods/Services Cancelled,The cardholder cancelled the order or service but was charged or not refunded.,20 days,"Cancellation policy accepted at purchase; Records of whether a valid cancellation occurred; Usage during the period billed, or proof of credit issued",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,P05,Incorrect Charge Amount,The amount charged differs from the amount the cardholder authorized.,20 days,Authorized vs. settled amount with itemized detail; Receipt or invoice the customer approved,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,P08,Duplicate Charge,The cardholder says they were charged more than once for a single purchase.,20 days,Distinct order IDs and auth codes for each charge; Proof each charge was a separate purchase; Refund proof if a genuine duplicate occurred,Often winnable,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,F10,Missing Imprint,The cardholder disputes a transaction as fraudulent and Amex says no card imprint or equivalent record exists proving the card was present.,20 days,"Transaction record showing the card was read (chip, swipe, or contactless); Signed receipt or terminal record tying the card to the sale; Any imprint or point-of-sale capture of the card details",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,F14,Multiple ROCs,"The merchant submitted more than one Record of Charge (ROC) for the cardholder, and the cardholder denies participating in the additional charge records — saying they authorized one transaction, not the extra ones.",20 days,"A signed receipt or Record of Charge for the specific disputed charge; Proof each Record of Charge is a separate, authorized transaction (distinct order IDs, dates, or items); Evidence of a recurring or installment agreement if the extra charges were expected; Proof of any credit already issued if a genuine duplicate occurred",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,F24,No Cardmember Authorization,The cardholder acknowledges other purchases with you but says they did not authorize this specific transaction.,20 days,AVS and CID match results from the authorization; Device fingerprint / IP tied to the cardholder; Proof of delivery or product access for this transaction; Prior undisputed order history from the same cardholder,Highly winnable,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,F30,EMV Counterfeit Fraud,"The cardholder denies a card-present transaction in which a counterfeit chip card was used, and the chip was not properly processed.",20 days,Proof the terminal was EMV chip-enabled and the chip was read; Transaction record showing chip (not magstripe) acceptance; Authorization and settlement records,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,F31,EMV Lost / Stolen / Non-Received Fraud,"The cardholder denies a card-present transaction made with a lost, stolen, or never-received chip card that was not properly processed via the EMV chip.",20 days,Proof the terminal was EMV chip-and-PIN certified and the chip was read; PIN verification record for the transaction; Authorization and settlement records,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,A01,Charge Amount Exceeds Authorization Amount,The amount you billed was higher than the amount Amex authorized for the transaction.,20 days,"Authorization approval amount vs. the amount billed; Itemized record of any disclosed tip, tax, or adjustment; Proof the billed amount matched what the cardholder authorized",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,A02,No Valid Authorization,You did not obtain a valid authorization — the charge was declined or the card had expired when the transaction was processed.,20 days,Authorization approval code obtained at the time of sale; Records showing the card was valid and not expired; Proof the charge was not processed after a decline,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,A08,Authorization Approval Expired,You submitted the transaction after the authorization approval had already expired.,20 days,Authorization date and the settlement date showing the charge was timely; Records proving the transaction settled within the approval window; A fresh authorization if the original had aged,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C14,Paid by Other Means,The cardholder says they were billed on their Amex card for a purchase they already paid for by another method.,20 days,"Records showing the Amex charge corresponds to a distinct, unpaid purchase; Proof no other payment was applied to this same order; Itemized order and payment records",Often winnable,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C18,“No Show” or CARDeposit Cancelled,"The cardholder says a lodging or reservation was cancelled, or that an expected credit for a CARDeposit charge was not received.",20 days,"Your cancellation / no-show policy as accepted at booking; Records showing whether a valid cancellation occurred within policy; Proof of any credit already issued, or that a no-show charge was valid",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,C28,Cancelled Recurring Billing,The cardholder says they cancelled a recurring or subscription charge but were billed anyway.,20 days,"Subscription terms and recurring-billing disclosure accepted at sign-up; Records showing no cancellation request was received before the billing date; Login or usage activity during the disputed billing period; Renewal notification sent before the charge, if applicable",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,M10,Vehicle Rental — Capital Damages,The cardholder disputes a charge you billed for capital damages to a rented vehicle.,20 days,"Rental agreement and the damage-liability terms the cardholder accepted; Documentation of the damage (inspection reports, photos, repair invoices); Proof the charged amount reflects the actual damage cost",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,M49,Vehicle Rental — Theft or Loss of Use,"The cardholder disputes a charge you billed for theft of, or loss of use of, a rented vehicle.",20 days,Rental agreement and the theft / loss-of-use terms the cardholder accepted; Police report or incident documentation for the theft; Records substantiating the loss-of-use period and amount charged,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,R03,Insufficient Reply,"Amex requested more information about a transaction and you replied, but the documentation provided was not sufficient to resolve the inquiry.",20 days,"The complete transaction record Amex requested (receipt, order, delivery proof); A clear written response addressing each point in the inquiry; Supporting documentation specific to the disputed transaction",Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
American Express,R13,No Reply,"Amex sent an inquiry about a transaction and did not receive a response within the required time, so the dispute proceeded by default.",20 days,The complete transaction record Amex originally requested; A timely written response addressing the inquiry; Proof of the records supporting the transaction,Winnable with strong evidence,American Express Merchant Reference Guide and Dispute (Chargeback) documentation
Discover,UD,Unauthorized / Disputed (Cardmember Does Not Recognize),The Discover cardmember disputes the transaction as unauthorized or unrecognized.,30 days,AVS and CID match results; Device / IP evidence tied to the cardmember; Delivery confirmation and proof of product use; Clear billing descriptor and order history,Highly winnable,Discover Network Dispute Rules and Reason Code documentation
Discover,RG,Non-Receipt of Goods or Services,The Discover cardmember paid but says they never received the goods or services.,30 days,Carrier tracking with delivery confirmation; Digital access logs for non-physical goods; Agreed delivery timeframe and order details,Winnable with strong evidence,Discover Network Dispute Rules and Reason Code documentation
Discover,RM,Quality of Goods or Services (Not as Described),The cardmember received the item but says its quality or description was misrepresented.,30 days,Accurate product/service description accepted at checkout; Proof the delivered item matched the listing; Return/refund policy and any resolution offered,Winnable with strong evidence,Discover Network Dispute Rules and Reason Code documentation
Discover,CD,Credit Not Processed,The cardmember expected a credit or refund that was never processed.,30 days,Refund confirmation and reference ID; Settlement date of the credit; Refund policy if no credit was owed,Often winnable,Discover Network Dispute Rules and Reason Code documentation
Discover,DP,Duplicate Processing,The cardmember says a single transaction was processed more than once.,30 days,Distinct order IDs and auth codes for each charge; Proof each charge was a separate purchase; Refund proof for any genuine duplicate,Often winnable,Discover Network Dispute Rules and Reason Code documentation
Discover,AP,Recurring Payments,"The Discover cardmember disputes a recurring or subscription charge, typically claiming they cancelled or did not authorize the ongoing billing.",30 days,"Subscription terms and recurring billing disclosure accepted at sign-up; Cancellation policy and records showing no cancellation request was received before the billing date; Login or usage activity during the disputed billing period; Renewal notification sent before the charge, if applicable",Winnable with strong evidence,Discover Network Dispute Rules and Reason Code documentation
Discover,AA,Does Not Recognize,The Discover cardmember does not recognize the transaction on their statement — a recognition dispute that often resolves once the merchant and purchase are identified.,30 days,"A clear billing descriptor and the merchant name shown to the cardmember; Order details, AVS/CID results, and device/IP tied to the cardmember; Delivery confirmation or proof of product use",Highly winnable,Discover Network Dispute Rules and Reason Code documentation
Discover,NA,No Authorization,"The transaction was processed without obtaining a valid authorization — for example after a decline, or by bypassing the authorization request.",30 days,Authorization approval code obtained at the time of sale; Records showing the charge was not processed after a decline; Proof a valid authorization response was received,Winnable with strong evidence,Discover Network Dispute Rules and Reason Code documentation
Discover,IC,Illegible Sales Data,"The sales data or receipt the merchant provided was illegible, so the transaction details could not be read to resolve the dispute.",30 days,"A clear, legible copy of the sales receipt or transaction record; Itemized order details and the amount charged; Any supporting documentation tied to the transaction",Winnable with strong evidence,Discover Network Dispute Rules and Reason Code documentation
Discover,UA,Fraud — Cardmember Does Not Recognize / Unauthorized,"The Discover cardmember claims the transaction was fraudulent or unauthorized — the merchant-facing fraud dispute code, with variants for card-present, card-not-present, and chip transactions.",30 days,"AVS and CID match results from the authorization; Device fingerprint / IP tied to the cardmember (card-not-present); EMV chip / PIN or signed receipt records (card-present); Delivery confirmation, proof of product use, and prior order history",Highly winnable,Discover Network Dispute Rules and Reason Code documentation
